,Unnamed: 0,SU_ID,P_PANEL,NATIONAL_WEIGHT,REGION_WEIGHT,NATIONAL_WEIGHT_POP,REGION_WEIGHT_POP,P_GEO,SOC1,SOC2A,SOC2B,SOC3A,SOC3B,SOC4A,SOC4B,PHYS8,PHYS1A,PHYS1B,PHYS1C,PHYS1D,PHYS1E,PHYS1F,PHYS1G,PHYS1H,PHYS1I,PHYS1J,PHYS1K,PHYS1L,PHYS1M,PHYS1N,PHYS1O,PHYS1P,PHYS1Q,SOC5A,SOC5B,SOC5C,SOC5D,SOC5E,PHYS2_1,PHYS2_2,PHYS2_3,PHYS2_4,PHYS2_5,PHYS2_6,PHYS2_7,PHYS2_8,PHYS2_9,PHYS2_10,PHYS2_11,PHYS2_12,PHYS2_13,PHYS2_14,PHYS2_15,PHYS2_16,PHYS2_17,PHYS2_18,PHYS2_19,PHYS2_DK,PHYS2_SKP,PHYS2_REF,PHYS10A,PHYS10B,PHYS10C,PHYS10D,PHYS10E,ECON8A,ECON8B,ECON8C,ECON8D,ECON8E,ECON8F,ECON8G,ECON8H,ECON8I,ECON8J,ECON8K,ECON8L,ECON8M,ECON8N,ECON8O,ECON8P,ECON8Q,ECON8R,ECON8S,ECON7_1,ECON7_2,ECON7_3,ECON7_4,ECON7_5,ECON7_6,ECON7_7,ECON7_8,ECON7_DK,ECON7_SKP,ECON7_REF,ECON1,ECON2,ECON4,ECON3,ECON4A,ECON4B,ECON6A,ECON6B,ECON6C,ECON6D,ECON6E,ECON6F,ECON6G,ECON6H,ECON6I,ECON6J,ECON6K,ECON6L,ECON5A_A,ECON5A_B,PHYS7_1,PHYS7_2,PHYS7_3,PHYS7_4,PHYS7_DK,PHYS7_SKP,PHYS7_REF,PHYS11,PHYS11_TEMP,PHYS9A,PHYS9B,PHYS9C,PHYS9D,PHYS9E,PHYS9F,PHYS9G,PHYS9H,PHYS3A,PHYS3B,PHYS3C,PHYS3D,PHYS3E,PHYS3F,PHYS3G,PHYS3H,PHYS3I,PHYS3J,PHYS3K,PHYS3L,PHYS3M,PHYS4,PHYS5,PHYS6,AGE4,AGE7,GENDER,RACETH,RACE_R2,HHINCOME,EDUCATION,EDUC4,P_OCCUPY2,HHSIZE1,HH01S,HH25S,HH612S,HH1317S,HH18OVS,REGION4,REGION9,P_DENSE,MODE,LANGUAGE,MAIL50,RACE1_BANNER,RACE2_BANNER,INC_BANNER,AGE_BANNER,HH_BANNER
0,1,20001173,ABS,,1.2186479593,,41103.599135,New York,3,4,4,1,1,2,2,3,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,3,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,3,,7,40,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,0,1,0,0,0,0,0,1,98.6,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,3,2,1,1,"$20,000 to under $30,000",3,3,,4,0,1,0,2,1,1,2,3,2,1,3,1,,1,2,4
1,2,20002089,ABS,,0.2288672136,,3127.8674017,"Phoenix-Mesa-Chandler, Arizona",3,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,2,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.5,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,6,1,1,1,"$150,000 or more",5,4,,2,0,0,0,0,2,4,8,3,2,1,2,1,,4,3,2
2,3,20002704,ABS,,0.2516591634,,1960.94297,Oregon,3,3,3,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,,,40,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,4,6,1,88,1,"$150,000 or more",5,4,,2,0,0,0,0,2,4,9,3,2,1,1,88,,4,3,2
3,4,20002713,ABS,,0.2072216544,,958.49122676,"Pittsburgh, Pennsylvania",3,2,2,1,1,2,1,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,5,5,4,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,3,,2,16,3,3,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,6,1,2,2,"$75,000 to under $100,000",5,4,,2,0,0,0,0,2,1,2,3,2,1,1,2,,3,3,2
4,5,20003003,ABS,,3.3859556252,,10720.255694,"Cleveland-Elyria, Ohio",3,1,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,4,4,4,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,,2,25,2,1,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,4,6,1,1,1,"$75,000 to under $100,000",2,2,,2,0,0,0,0,2,2,3,3,2,1,1,1,,3,3,2
5,6,20006220,ABS,,1.1174670923,,5168.7764355,"Pittsburgh, Pennsylvania",2,3,3,1,1,1,1,2,2,2,2,2,1,2,77,2,2,77,2,1,77,2,2,2,2,2,4,4,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,5,4,3,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,60,,50,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.6,1,2,2,2,2,2,2,2,2,2,2,77,2,77,77,2,2,2,2,2,2,2,2,2,2,2,1,1,1,"$75,000 to under $100,000",6,4,,2,0,0,0,0,2,1,2,3,2,1,1,1,,3,2,2
6,7,20006397,ABS,,0.7646334145,,26699.388256,Florida,2,4,3,1,1,2,2,98,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,4,4,3,3,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,2,0,5,5,4,3,4,1,1,1,4,4,4,4,4,4,1,2,0,0,0,1,0,0,0,1,95,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,3,4,2,3,2,"$10,000 to under $20,000",5,4,,4,0,0,0,0,4,3,5,3,2,2,2,3,,1,2,5
7,8,20009247,ABS,,0.5176443399,,8221.3415037,"Chicago-Naperville-Elgin, Illinois-Indiana-Wisconsin",3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,4,4,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,40,,40,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,5,1,1,1,"$150,000 or more",5,4,,2,0,0,0,0,2,2,3,3,2,1,2,1,,4,2,2
8,9,20009661,ABS,,4.0640844566,,12867.2757,"Cleveland-Elyria, Ohio",1,4,5,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,10,,20,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,0,0,0,2,,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,"Under $10,000",2,2,,1,0,0,0,0,1,2,3,3,2,1,1,2,,1,2,1
9,10,20010373,ABS,,1.1222150238,,2246.3549954,Montana,3,4,3,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,3,3,4,3,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,35,,55,1,2,2,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.6,1,2,2,2,2,2,2,2,2,2,2,2,2,77,1,2,2,2,2,2,2,2,2,2,2,2,1,88,1,"$100,000 to under $150,000",5,4,,3,0,0,1,0,2,4,8,2,2,1,1,88,,3,2,3
